快乐项目,Checkbox,Number,快乐分值
吹大风,No,25,6
大雨里跑,No,26,6
跑步思考灵感爆发,No,17,8
开车骑车自由感,No,27,6
跳蹦床,No,28,6
听歌跳舞,No,18,8
玩戏弄游戏或者体验新游戏,No,2,10
吃到超级好吃的东西,No,10,9
让人大跌眼镜,No,11,9
让人开心让人笑,No,19,8
打扮好看出门溜达,No,3,10
逛街看好看的东西,No,1,10
姐妹简洁有趣的一句回复,No,20,8
收到灵感和灵感落地，鼓捣出来新东西,No,4,10
读书新知豁然开朗，智识上的喜悦intellectual satisfaction,No,5,10
给别人穿搭打扮买衣服&拍照,No,21,8
看喜欢的博主让人安静的视频,No,22,8
做手帐创作拼贴，做手工,No,12,9
买到或者捡到喜欢的纸品,No,6,10
买到并使用有设计有质感有创意怦然心动之物,No,7,10
和爸妈&喜欢的朋友闲扯瞎聊天,No,24,7
投资赚钱,No,8,10
给喜欢的人发红包,No,13,9
到了舒服的环境气场瞬间,No,14,9
完全信任对方，什么都能聊的瞬间,No,15,9
是做完事情一起去玩的瞬间,No,16,9
是病痛康复的瞬间,No,9,10
体验到了极致性价比,No,23,10
