Number,快乐项目,快乐分值,Checkbox
1,逛街看好看的东西,10,No
23,体验到了极致性价比,10,No
2,玩戏弄游戏或者体验新游戏,10,No
3,打扮好看出门溜达,10,No
4,收到灵感和灵感落地，鼓捣出来新东西,10,No
5,读书新知豁然开朗，智识上的喜悦intellectual satisfaction,10,No
6,买到或者捡到喜欢的纸品,10,No
7,买到并使用有设计有质感有创意怦然心动之物,10,No
8,投资赚钱,10,No
9,是病痛康复的瞬间,10,No
10,吃到超级好吃的东西,9,No
11,让人大跌眼镜,9,No
12,做手帐创作拼贴，做手工,9,No
13,给喜欢的人发红包,9,No
14,到了舒服的环境气场瞬间,9,No
15,完全信任对方，什么都能聊的瞬间,9,No
16,是做完事情一起去玩的瞬间,9,No
17,跑步思考灵感爆发,8,No
18,听歌跳舞,8,No
19,让人开心让人笑,8,No
20,姐妹简洁有趣的一句回复,8,No
21,给别人穿搭打扮买衣服&拍照,8,No
22,看喜欢的博主让人安静的视频,8,No
24,和爸妈&喜欢的朋友闲扯瞎聊天,7,No
25,吹大风,6,No
26,大雨里跑,6,No
27,开车骑车自由感,6,No
28,跳蹦床,6,No
